user_id,category_college,reason_college,schedule,major,major_detail,reason_major,friends,experience,challenge,difference_environment,difference_habits,reason_first_company
1,私立総合大学の音楽学部,憧れの先生が教えていた,音楽専攻なので部活という意識はなく　ほぼ100%勉強,人文科学　音楽専攻　,分野:ジャズ　専攻楽器:トランペット,高校卒業以来14年にわたる日本国内でのプロ演奏経験があり、学位を得ようと渡米,プロのミュージシャン、音楽学部学生、ジャズバーのオーナー、ラジオ曲や楽器店の人達,"Effortless Masteryというカナダ人ジャズピアニストの書籍で東洋思想と学習についての考察とメカニズムを理解したこと

妻が娘を宿して、卒業リサイタルを胎児の娘に聞かせられたこと",ニューヨークの国際ジャズ教育協会で日本のジャズ教育事例のリサーチ発表をした事,いくら勉強しても絶対追いつかないくらい課題が投げつけられる。さっさと課題をこなして好きな事をする余裕はあり得ない。死ぬかと思った。,"出来ることはやる。こぼれ落ちたものは諦める
ベストは尽くしただろ？と納得できる生き方に
なりました","日本に帰国してから、最初の会社は
高校時代のバンド仲間が声をかけてくれたから
入っただけです"
2,美術,これしかない,魚釣り、アルバイト,美術学部絵画科,フラクタル論の応用,大学進学の手段が美術の他は見込みが薄かった,バイト仲間、予備校仲間,ピアノ担ぎなど極端な肉体労働,肉体労働,指導者不在,毎日飲酒するようになった,アルバイトニュースの金額
3,私立工科系大学（夜間部）,自宅から通える情報系の大学で、推薦試験で入れる所,勉強：仕事：遊び＝3：5：2,電気電子情報工学科情報工学コース,プログラミング他、情報工学や電子工学を幅広く,コンピュータの勉強がしたくて工業高校に入ったが、それでも物足りなくてさらにコンピュータについて学びたかった,夜間部だったので昼間に仕事をしている人が多く、(勉強ができるかどうかは別にして）真剣に学業に取り組んでいる人が多かった。,コンピュータだけでなく、一般教養の授業などを通じて興味の幅が大きく広がった。,鉄道研究部の新規設立（私を含め3名で設立）、コンピュータの解説書執筆出版,自己責任が問われるところが多かった。また学業と仕事を並行していたのでものすごく忙しかった。,学校の中だけでなく、学会に入るなどして交流の範囲がとても広くなった。,大学1年でプログラマのアルバイト(フルタイム）に入るために探した。当時Web系の知識が私には少なかったため、Web系ではない開発企業を狙って探した。
4,,,,,,,おっとりした人,音楽,人前で話す事,より興味に強くなる,緊張嘉少なくなった,そこに受かった
5,私立文系,高校担任のすすめ,授業：サークル；バイト＝１：１：１,英文学科,言語学（生成文法）,第一志望だった「コミュニケーション分野」に選考で漏れたため,サークルの友人関係が多く、自分が勉強嫌いの割には勉強熱心な友人が多かった。,（みつけられなかった）,（チャレンジとまで言えるものはみつけられなかった）,人間関係が複雑,選択できることが多いがゆえに、楽を選ぶようになってしまった,学校で働きたかった
6,国公立文系,家から近い、一番良い進学校,"勉強３、バイト５、遊び２
（途中まで部活３　勉強３　バイト３　遊び１）",経済,,偏差値、自由,明るい人、,バイト（インターン）,企画・イベント作り,自分で好きなことができる,キャリアについて考えられる,裁量がある、ビジネススキルがつく、成長が早い、自分と合致して活躍できそう
7,経営学部,とくになし。民族学校,勉強、部活、その他＝1.1.1,経営学部、経済政策論,経済政策論,とくになし。教授で選んだ,個性派,とくにない,資本論読破、吹奏楽都大会目標,科目選択含め自由時間が多い。やるもやらないも自分次第,寮だったので、どこでも寝れる、なんでも食えるようになりました。,一番幅広い仕事ができると思った。
8,私立文系,指定校推薦で1番いい大学だった(偏差値),サークル、学業、バイトの順,経営学部経営学科,学校の先生を志したので専攻はなし。ゼミ不参加。,,サークルはめっこり、ほぼ毎日誰かといた。学校行って、誰かみつけて、魚民で安酒を飲む生活。,サークル活動で女友達がたくさんできた。奥さんもそこで出会った。そこで女性の意思決定の動機を学び、営業組織運営に役立った。,野球サークルで関東大会優勝。(3回戦くらいまでだったかな)、フルマラソン挑戦。,友人の話をよく聞くようになった。将来の目標とか、就職活動の話とか。高校に比べ、将来がより近いので高校とは違う刺激を友人からもらうことが多かったかな。,よく人と遊ぶようになった。人と時間を過ごすことが楽しめるようになった。,高校教師になると決めて指定校をもらってしまったので、約束を果たすために私学適正試験を受け、いくつかの学校からのオファーをもらった状態で母校独自ほ試験を受け、採用してもらった。
9,私立文系,たまだ現役合格できたから,ヲタ活,社会学,覚えてない...,陰キャなりに世の中のことをもっと良く知る必要があると思っていたのかもしれません。,ヲタ,就職できず(就職氷河期),特になし,どこまでも自堕落になれる,ますます自堕落になりました,就職失敗(卒業後数年過ぎ、たまたまITバブルが来たので運良く正社員ポジションをゲットしました)
10,私立文系,指定校推薦で行けたから,,経済学部経済学科,2年で退学したので、専門性のある研究はしていないです,進学の時にやりたい事が見付からなかったので、応用がきく学部にしました。,クラスの友人,特にありません。,ひたすらアルバイトしてました。,自分のため使える時間が増えるので、お金の使い方を考えるようになった。,様々なアルバイトを通して、人との関わり方を学べた,ホテルとバーに興味があったから