user_id,age,job,job_detail,schedule,company,company_feature,ability_for_become,necesary_to_keep,good_point,hard_time,to_overcome,private_activity,time_ratio,life_score,vision
1,50代,福祉施設,成人知的障害者を平日日中受け入れ、安全で楽しい時間を過ごす,朝はスタッフミーティングの後、バスで到着する皆さんを受け入れ、日替わりメニューの午前中活動。昼食。日替わりメニューの午後活動、4時ごろ帰宅のバスで送り出し。スタッフミーティング。,80名規模の公立福祉施設,優しい人が多い,公立公職なので、正規職員としては大学で保育や障害者福祉の学位を取得して区の採用試験に合格する事。(アルバイト採用や嘱託員枠での雇用は学位や資格を要求されません),知的障害者さん達は、自分や他人を傷つける自傷や他害の行動があります。それを防げる瞬発力と気配りが求められます。排泄や食事のお手伝いもしますので楽しく日常の生活をサポートできる事が大切。,誰も怪我なく無事に帰宅できるとホッとします,正規職員ではなく補助的な立場で雇用されているので、全体の意思決定に関われないのが少し残念。,音楽を演奏したり聞いたり,環境と気候変動,50%-50%,3,杉並区の新区長が会計年度任用職員の待遇改善に前向きな事が希望です。海外から飛び込んできたこのSatoko新区長が世界的な問題に日本の地方自治から変革を起こそうとしているので、是非同じ方向性で協力して行きたい。(中高生の皆さんにはピンとこないかもしれないけど、仕事の内容そのものではなく、仕事の枠組みや社会一員として雇用や労働の在り方についてのコメントです)
2,40代,アルバイト,塗装,現場ある日は8時間労働、無い日は無収入,建設業,元はベンチャー企業、売却され転換期にさしかかっている,特にない,これだけはわからない。資質よりは運,新しい事ができるようになるとうれしい,"昇給やキャリア形成は基本的に無い。90年代から30年あまり収入減が続いている
",飲酒,魚釣り、キノコ採り、芸術,予定の無いときに働く,3,寿命まで生きる
3,30代,大学・専門学校教員,学生への授業、実習指導、生活指導、就職指導など,一日数コマの授業を行いつつ、他の時間で授業準備や課題チェック、会議などをしています。,東京国際工科専門職大学／専門学校HAL東京,色々な分野の専門家が集まっています,専門学校教員の場合は、まずは会社で実務経験を積んでおくことが必要です。教職免許はなくても大丈夫ですが、人に教えるというのはそれだけで一つ特殊なスキルなので、向き不向きがあったり、トレーニングが必要だったりします。大学教員の場合はほとんどの場合は博士号が必要です。,常に新しい技術を学び続けること。あとは通常授業の他に事務仕事がたくさんあるので、優先順位をつけながら諸業務をこなしていくことも必要。,最初何も知らない学生が、徐々に知識を身につけて就職できるまで成長していく様子を間近に見られる。学生とのコミュニケーションが楽しい。,授業の準備や課題のチェックが大変。拘束時間が長い。,コーヒーブレイクを入れたり、同僚や学生とおしゃべりする時間を作ってリフレッシュする。忙しくても家に帰って寝る時間をできるだけ確保する。,趣味（読書とかコーヒー・紅茶にこだわるとか料理とか）,できるだけ平日も少しは趣味の時間を持つようにしている。土日はできるだけ仕事から離れてリフレッシュ。,4,博士号を持っていないので、何とか頑張って博士号を取得したい。
4,50代,ピアノ講師,ピアノの個人レッスン,午後からの仕事がメイン、30分毎生徒が変わり、夜21時まで,島村楽器,音楽教室,ピアノの演奏ができる事、指導力、、コミュニケーション能力,弾けない人の気持ちが理解できる事、どうしたら弾ける様になるか考えられる事,楽しんで頂いている事がわかる時,とくにない、でも個人事業主なので休む事があってはならない,指導以外にライブなどで自分の演奏をすると目線が変わる,カメラ,あまりできていない,4,沢山の生徒さんを担当し、音楽の楽しさを伝えたい
5,30代,中間支援組織スタッフ(市民活動支援・学生キャリア支援)、作曲家,コワーキングスペースの運営、市民活動の支援、学生のキャリア支援、映像や劇伴BGMの制作,午前：自分の仕事はだいたい終えておく　午後：突発の対応や仲間とのコミュニケーション、ゆっくり丁寧にものごとを考える時間　夜：個人の仕事,NPO(2団体)、個人,パラレルワーカーでチャレンジングな人材が多い,DAWの操作(作曲),共感力と自分軸を兼ね備えてる人。,常に新しい経験が得られる,中間支援という特性上、自分軸がないと板挟み症候群になる。,情報遮断して好きなものに没頭する,なし（以前は仕事以外で力を入れていたものが総て仕事になってしまったため…）,（同上）,4,今まで行ってきたことを他地域でも実践してみたい。
6,40代,大学教員（実務家教員）,研究・教育・社会貢献活動、企業のアドバイザー、執筆・講演,,名古屋産業大学,専門領域・プロフェッショナル,実務の経験、研究能力、トーク力,自分を高め続けられる、知的好奇心、人間的な魅力,新たな発見、感謝,終わりがない,バランスよく,卓球、いろんな人と触れてトークする,よく休む、寝る,5,日本を変えるために、ある領域を科学する
7,40代,経営コンサルタント,経営コンサルタント、マーケティングイベント,バラバラ,あおいくるま　自営　有限会社,私が全て,クリエイティビリティ、コミュ力、まとめ力,,お互い「ありがとう」と言える。,結果が出ない,寝る、遊ぶ。,趣味、子育て,基本、繁忙期以外は趣味優先,5,さらに新たなことにチャレンジ
8,30代,不動産　売買仲介,弁護士案件に特化した不動産仲介。訴訟前の財産調査(不動産査定)でコネクションを作り売買仲介を任せてもらう流れをぐるぐる回す。主な営業先は法律事務所。,大半は査定書作成、現地調査。月に1〜2件の契約業務(書類作成)、決済業務,株式会社Ｔｒａｓｉａ,独立したてでまだ代表1人の法人,オフィス系と顧客対応力,秘書的な業務をこなせること(弁護士の依頼、スケジュール感を守れる),依頼者からの感謝。弁護士からの感謝。基本的に売らなきゃいけない状態の方が多く、必ずしも将来に向けて希望溢れるパターンの売買じゃない。どれだけ寄り添えるかがポイント。,大手のようにいつも看板で仕事があるわけじゃない。自分で仕事をいただける熱意がないと成長できない。,徳を積む(道を譲る、ゴミ拾うなど)、資格取得の勉強(役に立つかもしれないし、ネタとして),資格取得,家事全般,5,年間利益3000万
9,40代,経営コンサルタント,収益性改善指導、業務改善指導、ITリテラシー指導など。,顧客訪問またはオンライン会議、調査報告書の作成。,一人親方の法人(合同会社),独立独歩,簿記会計、企業法、ITリテラシー。,「ぼくのかんがえたさいきょうのけいえいせんりゃく」を押し付けない人。,クライアントの成功と成長。,収入が不安定で自分自身の資金繰りが難しい。,固定コスト削減。,仕事仲間との交流(懇親),理想は週休５日、現実は週休0.5日。,4,週休５日の早期実現
10,30代,外資系生命保険の営業,生命保険商品の営業(マーケットの開拓～)、法人個人のファイナンシャルアドバイザー,目標から達成までの活動含め、全て自分で決めますのでスケジュールは決まっていません。,メットライフ生命,大人しいが、稼ぐ事に積極的な人が多い,"人付き合いに必要な気配り心配り目配り。積極性。めげない心と自己管理能力。
最低限のパソコンスキル。",前述＋気持ちで行動が左右されない人,相談者から感謝されること。紹介をしていただけること。自分で決めた数字を達成した時。,"保険屋さんのイメージ。マーケットの開拓。
成果があがってない時も変わらず活動すること。",気分転換。,趣味,週に一日は完全に仕事から離れる,4,変わらずコツコツと継続する